#    time          strength            derivative     
   16.205818     0.0000000000e+00     0.0000000000e+00
   16.247160     0.0000000000e+00     0.0000000000e+00
   16.288501     0.0000000000e+00     0.0000000000e+00
   16.329842     0.0000000000e+00     0.0000000000e+00
   16.371184     0.0000000000e+00     0.0000000000e+00
   16.412525     0.0000000000e+00     0.0000000000e+00
   16.453867     0.0000000000e+00     0.0000000000e+00
   16.495208     0.0000000000e+00     0.0000000000e+00
   16.536549     0.0000000000e+00     0.0000000000e+00
   16.577891     0.0000000000e+00     0.0000000000e+00
   16.619232     0.0000000000e+00     0.0000000000e+00
   16.660573     0.0000000000e+00     0.0000000000e+00
   16.701915     0.0000000000e+00     0.0000000000e+00
   16.743256     0.0000000000e+00     0.0000000000e+00
   16.784598     0.0000000000e+00     0.0000000000e+00
   16.825939     0.0000000000e+00     0.0000000000e+00
   16.867280     0.0000000000e+00     0.0000000000e+00
   16.908622     0.0000000000e+00     0.0000000000e+00
   16.949963     0.0000000000e+00     0.0000000000e+00
   16.991304     0.0000000000e+00     0.0000000000e+00
   17.032646     0.0000000000e+00     0.0000000000e+00
   17.073987     0.0000000000e+00     0.0000000000e+00
   17.115329     0.0000000000e+00     0.0000000000e+00
   17.156670     0.0000000000e+00     0.0000000000e+00
   17.198011     0.0000000000e+00     0.0000000000e+00
   17.239353     0.0000000000e+00     0.0000000000e+00
   17.280694     0.0000000000e+00     0.0000000000e+00
   17.322035     0.0000000000e+00     0.0000000000e+00
   17.363377     0.0000000000e+00     0.0000000000e+00
   17.404718     0.0000000000e+00     0.0000000000e+00
   17.446060     0.0000000000e+00     0.0000000000e+00
   17.487401     0.0000000000e+00     0.0000000000e+00
   17.528742     0.0000000000e+00     0.0000000000e+00
   17.570084     0.0000000000e+00     0.0000000000e+00
   17.611425     0.0000000000e+00     0.0000000000e+00
   17.652766     0.0000000000e+00     0.0000000000e+00
   17.694108     0.0000000000e+00     0.0000000000e+00
   17.735449     0.0000000000e+00     0.0000000000e+00
   17.776791     0.0000000000e+00     0.0000000000e+00
   17.818132     0.0000000000e+00     0.0000000000e+00
   17.859473     0.0000000000e+00     0.0000000000e+00
   17.900815     0.0000000000e+00     0.0000000000e+00
   17.942156     0.0000000000e+00     0.0000000000e+00
   17.983497     0.0000000000e+00     0.0000000000e+00
   18.024839     0.0000000000e+00     0.0000000000e+00
   18.066180     0.0000000000e+00     0.0000000000e+00
   18.107522     0.0000000000e+00     0.0000000000e+00
   18.148863     0.0000000000e+00     0.0000000000e+00
   18.190204     0.0000000000e+00     0.0000000000e+00
   18.231546     0.0000000000e+00     0.0000000000e+00
   18.272887     0.0000000000e+00     0.0000000000e+00
   18.314228     0.0000000000e+00     0.0000000000e+00
   18.355570     0.0000000000e+00     0.0000000000e+00
   18.396911     0.0000000000e+00     0.0000000000e+00
   18.438253     0.0000000000e+00     0.0000000000e+00
   18.479594     0.0000000000e+00     0.0000000000e+00
   18.520935     0.0000000000e+00     0.0000000000e+00
   18.562277     0.0000000000e+00     0.0000000000e+00
   18.603618     0.0000000000e+00     0.0000000000e+00
   18.644959     0.0000000000e+00     0.0000000000e+00
   18.686301     0.0000000000e+00     0.0000000000e+00
   18.727642     0.0000000000e+00     0.0000000000e+00
   18.768983     0.0000000000e+00     0.0000000000e+00
   18.810325     0.0000000000e+00     0.0000000000e+00
   18.851666     0.0000000000e+00     0.0000000000e+00
   18.893008     0.0000000000e+00     0.0000000000e+00
   18.934349     0.0000000000e+00     0.0000000000e+00
   18.975690     0.0000000000e+00     0.0000000000e+00
   19.017032     0.0000000000e+00     0.0000000000e+00
   19.058373     0.0000000000e+00     0.0000000000e+00
   19.099714     0.0000000000e+00     0.0000000000e+00
   19.141056     0.0000000000e+00     0.0000000000e+00
   19.182397     0.0000000000e+00     0.0000000000e+00
   19.223739     0.0000000000e+00     0.0000000000e+00
   19.265080     0.0000000000e+00     0.0000000000e+00
   19.306421     0.0000000000e+00     0.0000000000e+00
   19.347763     0.0000000000e+00     0.0000000000e+00
   19.389104     0.0000000000e+00     0.0000000000e+00
   19.430445     0.0000000000e+00     0.0000000000e+00
   19.471787     0.0000000000e+00     0.0000000000e+00
   19.513128     0.0000000000e+00     0.0000000000e+00
   19.554470     0.0000000000e+00     0.0000000000e+00
   19.595811     0.0000000000e+00     0.0000000000e+00
   19.637152     0.0000000000e+00     0.0000000000e+00
   19.678494     0.0000000000e+00     0.0000000000e+00
   19.719835     0.0000000000e+00     0.0000000000e+00
   19.761176     0.0000000000e+00     0.0000000000e+00
   19.802518     0.0000000000e+00     0.0000000000e+00
   19.843859     0.0000000000e+00     0.0000000000e+00
   19.885201     0.0000000000e+00     0.0000000000e+00
   19.926542     0.0000000000e+00     0.0000000000e+00
   19.967883     0.0000000000e+00     0.0000000000e+00
   20.009225     0.0000000000e+00     0.0000000000e+00
   20.050566     0.0000000000e+00     0.0000000000e+00
   20.091907     0.0000000000e+00     0.0000000000e+00
   20.133249     0.0000000000e+00     0.0000000000e+00
   20.174590     0.0000000000e+00     0.0000000000e+00
   20.215932     0.0000000000e+00     0.0000000000e+00
   20.257273     0.0000000000e+00     0.0000000000e+00
   20.298614     0.0000000000e+00     0.0000000000e+00
   20.339956     0.0000000000e+00     0.0000000000e+00
   20.381297     0.0000000000e+00     0.0000000000e+00
   20.422638     0.0000000000e+00     0.0000000000e+00
   20.463980     0.0000000000e+00     0.0000000000e+00
   20.505321     0.0000000000e+00     0.0000000000e+00
   20.546663     0.0000000000e+00     0.0000000000e+00
   20.588004     0.0000000000e+00     0.0000000000e+00
   20.629345     0.0000000000e+00     0.0000000000e+00
   20.670687     0.0000000000e+00     0.0000000000e+00
   20.712028     0.0000000000e+00     0.0000000000e+00
   20.753369     0.0000000000e+00     0.0000000000e+00
   20.794711     0.0000000000e+00     0.0000000000e+00
   20.836052     0.0000000000e+00     0.0000000000e+00
   20.877394     0.0000000000e+00     0.0000000000e+00
   20.918735     0.0000000000e+00     0.0000000000e+00
   20.960076     0.0000000000e+00     0.0000000000e+00
   21.001418     0.0000000000e+00     0.0000000000e+00
   21.042759     0.0000000000e+00     0.0000000000e+00
   21.084100     0.0000000000e+00     0.0000000000e+00
   21.125442     0.0000000000e+00     0.0000000000e+00
   21.166783     0.0000000000e+00     0.0000000000e+00
   21.208125     0.0000000000e+00     0.0000000000e+00
   21.249466     0.0000000000e+00     0.0000000000e+00
   21.290807     0.0000000000e+00     0.0000000000e+00
   21.332149     0.0000000000e+00     0.0000000000e+00
   21.373490     0.0000000000e+00     0.0000000000e+00
   21.414831     0.0000000000e+00     0.0000000000e+00
   21.456173     0.0000000000e+00     0.0000000000e+00
