# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
        104.18026083       4.27551918e-16    -4.979616814858e-15    -1.067060746041e-15     2.234123012937e-04
        104.59367456      -1.00144275e-15     5.868834103225e-15    -1.600591119061e-15     2.259782986471e-04
        105.00708829      -1.23025932e-15     1.067060746041e-14     2.134121492082e-15     2.286339431655e-04
        105.42050203      -6.57226120e-16     7.825112137633e-15    -1.778434576735e-16     2.312538976782e-04
        105.83391576       1.35163273e-16    -3.556869153470e-15     4.979616814858e-15     2.336541018568e-04
        106.24732949       1.25077931e-15    -1.351610278319e-14    -2.027415417478e-14     2.356593422350e-04
        106.66074323      -4.11907167e-17     4.268242984164e-15     4.446086441837e-15     2.371644743235e-04
        107.07415696       9.07940141e-16    -1.173766820645e-14    -1.458316352923e-14     2.381435998498e-04
        107.48757069      -7.25088347e-17    -3.556869153470e-16    -6.935894849266e-15     2.386144152238e-04
        107.90098443      -1.07344818e-15     1.138198129110e-14    -1.422747661388e-15     2.386067667533e-04
        108.31439816       6.13508823e-16    -8.002955595307e-15    -7.647268679960e-15     2.381702282722e-04
        108.72781190       4.05648511e-16    -4.979616814858e-15    -9.247859799021e-15     2.374022170054e-04
        109.14122563      -8.91250056e-16     6.402364476246e-15    -1.067060746041e-15     2.364463572199e-04
        109.55463936      -2.46008165e-16    -2.845495322776e-15     3.023338780449e-15     2.354380724647e-04
        109.96805310      -5.64708356e-17     6.580207933919e-15     1.244904203714e-15     2.344331097860e-04
        110.38146683      -8.47792029e-18    -1.422747661388e-15     2.667651865102e-15     2.333809670845e-04
        110.79488056      -1.84739524e-15     2.098552800547e-14     2.507592753196e-14     2.321681733272e-04
        111.20829430      -1.65922612e-15     1.814003268270e-14     1.351610278319e-14     2.306927273059e-04
        111.62170803       5.83370339e-16    -5.690990645552e-15    -9.781390172042e-15     2.289064056214e-04
        112.03512176       1.02396897e-15    -1.440532007155e-14    -1.244904203714e-14     2.268004626612e-04
        112.44853550       7.80019111e-16    -8.892172883674e-15    -1.565022427527e-14     2.243695461333e-04
        112.86194923       5.91483234e-16    -3.556869153470e-15    -2.667651865102e-15     2.216049172580e-04
        113.27536296      -4.84817940e-16     5.513147187878e-15    -1.956278034408e-15     2.185259696624e-04
        113.68877670       1.01835659e-15    -8.892172883674e-15    -1.209335512180e-14     2.152075227944e-04
        114.10219043       5.83293092e-17     1.422747661388e-15     1.244904203714e-15     2.117584714762e-04
        114.51560416       1.35894013e-16    -3.023338780449e-15    -1.600591119061e-15     2.082589336566e-04
        114.92901790       1.23858983e-15    -1.191551166412e-14    -1.120413783343e-14     2.047117810584e-04
        115.34243163       2.52434321e-15    -2.703220556637e-14    -2.792142285474e-14     2.010553421970e-04
        115.75584536      -2.80630293e-15     3.716928265376e-14     4.037046489188e-14     1.972242832901e-04
        116.16925910      -5.38566338e-16     7.469425222286e-15     4.090399526490e-15     1.931980751289e-04
        116.58267283      -2.09477635e-15     2.240827566686e-14     1.991846725943e-14     1.889920422637e-04
        116.99608656      -1.58321653e-15     1.653944156363e-14     1.404963315621e-14     1.846082435806e-04
        117.40950030      -2.18274078e-15     2.543161444731e-14     2.472024061661e-14     1.800055757613e-04
